page,title,goal,comparison,why_test,status,scope,sources,file,kind,entry_ids,research_questions,success,fail,mixed,unresolved,method_checks,corrected
2,Hierarchy missed its accuracy goal,Improve accuracy by sharing step-size information.,Two-level vs plain layerwise; empirical Bayes vs additive r=1,Shared information was expected to stabilize learning.,bad,Historical tl1 NULL; fresh accuracy verified but local spread probes absent. EB primary FAILURE; validity gates passed.,campaign_evidence.original_main_idea,figures/page-2.png,finding,MT133; MT134,2,0,2,0,0,0,0
3,An additive benefit survives tuning,Keep an interior-r benefit after meta-step tuning.,Best interior r vs best endpoint; both step-tuned,Check whether the earlier gain was only a tuning artifact.,good,Local additive benefit does not establish the two-level shrinkage proposal. Error bars exclude tuning selection.,campaign_evidence.original_main_idea.g4m,figures/page-3.png,finding,MT073; MT132,2,1,1,0,0,0,0
4,Several proposed fixes did not deliver,Improve MetaOptimize using structured fixes.,Cosine priors / correlation grouping / pooling variants,Find an improvement beyond the original method.,mixed,"MT069-MT080  |  Exact operators, scopes and revised verdicts in the full register","MT069-MT080  |  Exact operators, scopes and revised verdicts in the full register",figures/page-4.png,finding,MT069; MT070; MT071; MT079; MT080,5,0,3,1,1,0,1
5,Initial-rate robustness: a real benefit,Raise average accuracy across the tested rate grid.,MetaOptimize vs fixed-rate and cosine AdamW,Measure how costly a poor initial rate can be.,good,"Descriptive plateau5 grid mean, not an intrinsic robustness constant. Cosine arm is cross-batch/account unbalanced; selection of grid matters.",i3a/i3b/i3c + SW; campaign_evidence.alpha0_robustness,figures/page-5.png,finding,MT047; MT048; MT049; MT050; MT051,5,3,1,1,0,0,1
6,Layerwise peaks; weightwise trails,Improve accuracy by making step-size groups finer.,Scalar / 6-block / layerwise / nodewise / weightwise,Test whether more step sizes keep helping.,bad,"Current complete canonical C10 SGDm/Lion a0=1e-3 corpus, cQ1 selection with explicitly flagged duplicate aliases collapsed; descriptive multi-batch cells. This changes nodewise1e-4 n32 to n29 but not the selected peak. Each peak selected over available canonical rungs, not a new registered comparison. Means differ from frozen old tables as the corpus grew. Cross-family and unbalanced cell composition means cell SEM alone cannot rank small differences. Some above-peak rungs have n=1; endpoints and sampled curves do not prove a global optimum. Canonical clamp box remains; at1 nodewise@3e-4 touches the lower bound, unlike tw0@1e-4. Historical frozen-beta ms1e-8 is only an approximation, not proof of no beta motion.",cQ1 selection; full_granularity_ladder,figures/page-6.png,finding,MT026; MT027; MT028; MT029; MT033; MT034,6,2,3,1,0,0,0
7,The old horizon reversal fails retuning,Reproduce the claimed reversal after tuning.,Nodewise minus layerwise: shared vs tuned meta steps,Separate a training-duration effect from poor tuning.,bad,"Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments. T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero.",hz9 + rs; br6 + bl5; CORRECTIONS115,figures/page-7.png,finding,MT039; MT040; MT041; MT063,4,0,2,2,0,0,1
8,Partition choice matters at similar counts,Improve accuracy while keeping group counts almost equal.,"chunk777 (14,421 groups) vs nodewise (14,420)",Test membership beyond the number of learned step sizes.,good,"Overlapping seeds
Only 2 disjoint seed sets",ResNet-18 / CIFAR-10  |  100 epochs  |  n = 3 / 3 / 3 / 4; +/- 1 SE,figures/page-8.png,finding,MT098; MT175; MT176; MT177; MT178; MT179; MT180; MT181; MT182; MT183; MT184; MT185; MT186; MT187; MT188; MT189; MT190; MT191; MT192; MT193; MT194; MT195; MT196; MT197; MT198; MT199; MT200; MT201; MT202; MT203; MT204; MT205; MT206; MT207; MT208; MT209; MT210; MT211; MT240,36,12,6,4,14,3,12
9,Model scale changes the size and sign,Transfer granularity gains across model scale.,Plain layerwise vs scalar within each model,Check whether the ResNet-18 result generalizes.,mixed,"Initial rate 1e-6
Shared meta step 1e-3",CIFAR-10  |  100 epochs  |  n = 3 / 3 / 3 / 2; +/- 1 SE,figures/page-9.png,finding,MT057; MT058,2,0,0,2,0,0,0
10,The granularity gap reaches Tiny-ImageNet,Replicate the granularity gap on a third dataset.,Layerwise vs scalar on Tiny-ImageNet,Check whether the CIFAR result extends to new images.,good,"Shared meta step1e-3 and alpha0=1e-6; dataset extension on ResNet, no target-specific tuning.",campaign_evidence.generalization_examples.tinyimagenet,figures/page-10.png,finding,MT136,1,1,0,0,0,0,0
11,"ImageNet-489: one win, two failed gates",Replicate granularity effects on larger images.,Scalar / 6-block / layerwise / nodewise on ImageNet-489,Test whether the result survives a larger dataset.,mixed,"in489g1 primary is COMMON80epochs (three seeds); in489g2 is84epochs(two seeds). Do not combine their means or uncertainty. 489classes, not1000; use batch-specific anchors for capture. in489g1 scalar/block arms fail the5% learned-floor gate: BLOCK/GRAN unresolved.",in489g1; MT140; CORRECTIONS152,figures/page-11.png,finding,MT140; MT151,2,0,1,0,1,0,0
