panel_id,occurrence_id,primary_cell_id,legacy_cell_id,cell_label,selection_context,source_pointer,inherited_context,batch_family_counts,excluded_duplicate_aliases,configuration,cell_id,metric,split,units,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,epochs_requested,start_epoch_index,end_epoch_index_exclusive,window_records,actual_epochs_parsed,terminal_window,n,accuracy_mean,accuracy_sd_pp,accuracy_se_pp,accuracy_min,accuracy_max,n_unique_runs,n_unique_seed_labels,n_runs_with_recorded_raw_hash,summary_origin,uncertainty_note,independence_note
horizon_reversal,OCC-daa2335fbdc9470e,CELL-2cb65e1dbf11b2a5,CELL-d9b5dd2a31e33ec7,br6:layerwise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/0/cells/br6/layerwise,"{""end_epoch"":10,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""br6"":4}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:2.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""layerwise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-2cb65e1dbf11b2a5,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-30:2.0,,na,na,40,5,10,5,40,False,4,77.1215,0.5580474890186291,0.27902374450931455,76.5,77.85,4,4,4,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
horizon_reversal,OCC-7219ea78617cd645,CELL-de8b5e1ef8a112fa,CELL-03c1e8eeec8c5e11,br6:nodewise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/0/cells/br6/nodewise,"{""end_epoch"":10,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""br6"":4}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:2.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""nodewise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-de8b5e1ef8a112fa,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-30:2.0,,na,na,40,5,10,5,40,False,4,73.3735,0.4655788511806192,0.2327894255903096,72.914,73.878,4,4,4,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
horizon_reversal,OCC-b41c376228f863c2,CELL-b3c4bb55aa6deedf,CELL-1f21e8f6992c1f3a,bl5:layerwise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/0/cells/bl5/layerwise,"{""end_epoch"":10,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""bl5"":3}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:0.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""layerwise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-b3c4bb55aa6deedf,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,40,5,10,5,40,False,3,77.26,0.6589567512363761,0.380448857710643,76.568,77.88,3,3,3,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
horizon_reversal,OCC-1bba420615f62ff5,CELL-af6d8480c6c97eef,CELL-d49a484f4f7912cf,bl5:nodewise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/0/cells/bl5/nodewise,"{""end_epoch"":10,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""bl5"":3}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:0.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""nodewise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-af6d8480c6c97eef,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,40,5,10,5,40,False,3,73.04933333333334,0.5480048661584461,0.3163907569938037,72.66,73.676,3,3,3,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
horizon_reversal,OCC-b694e0d29677448c,CELL-331cb3a4f8560074,CELL-d9b5dd2a31e33ec7,br6:layerwise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/1/cells/br6/layerwise,"{""end_epoch"":15,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""br6"":4}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:2.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""layerwise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-331cb3a4f8560074,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-30:2.0,,na,na,40,10,15,5,40,False,4,84.21799999999999,0.45873739764706145,0.22936869882353073,83.592,84.68599999999999,4,4,4,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
horizon_reversal,OCC-4107ab476aa655ef,CELL-86a44d795a629a1c,CELL-03c1e8eeec8c5e11,br6:nodewise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/1/cells/br6/nodewise,"{""end_epoch"":15,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""br6"":4}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:2.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""nodewise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-86a44d795a629a1c,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-30:2.0,,na,na,40,10,15,5,40,False,4,82.85849999999999,0.395145121020958,0.197572560510479,82.314,83.204,4,4,4,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
horizon_reversal,OCC-ea743af7f3a64857,CELL-0b8b80fef3541a6a,CELL-1f21e8f6992c1f3a,bl5:layerwise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/1/cells/bl5/layerwise,"{""end_epoch"":15,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""bl5"":3}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:0.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""layerwise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-0b8b80fef3541a6a,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,40,10,15,5,40,False,3,84.11933333333333,0.1817947560666497,0.10495925135234256,83.92,84.276,3,3,3,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
horizon_reversal,OCC-a4fb9f82d3eac025,CELL-9702dd94caf7cd89,CELL-d49a484f4f7912cf,bl5:nodewise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/1/cells/bl5/nodewise,"{""end_epoch"":15,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""bl5"":3}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:0.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""nodewise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-9702dd94caf7cd89,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,40,10,15,5,40,False,3,83.14666666666666,0.17238716116153274,0.09952777390144633,82.968,83.312,3,3,3,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
horizon_reversal,OCC-e95de5e8611eeadc,CELL-3a7a22b8535cf72d,CELL-d9b5dd2a31e33ec7,br6:layerwise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/2/cells/br6/layerwise,"{""end_epoch"":20,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""br6"":4}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:2.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""layerwise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-3a7a22b8535cf72d,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-30:2.0,,na,na,40,15,20,5,40,False,4,86.6605,0.29948121810891504,0.14974060905445752,86.41,87.074,4,4,4,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
horizon_reversal,OCC-e8e1d7d83a6ac87e,CELL-3e628f65eb888ab2,CELL-03c1e8eeec8c5e11,br6:nodewise,trajectory window on existing runs,/panels/horizon_reversal/shared_ms/2/cells/br6/nodewise,"{""end_epoch"":20,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""br6"":4}",,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""SGDm"",""batch_size"":""100"",""beta_clip"":""-30:2.0"",""dataset"":""CIFAR10"",""epochs_requested"":""40"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""nodewise"",""hier"":"""",""lam"":""na"",""meta"":""Lion"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}",CELL-3e628f65eb888ab2,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-30:2.0,,na,na,40,15,20,5,40,False,4,86.7175,0.24346594559952003,0.12173297279976002,86.49,86.974,4,4,4,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,windows reuse trajectories; not independent training-budget experiments
